region,comp,civil,mining
"1			",-72,-120,-95
"1			",-79,-120,-120
"1			",-83,-91,-97
"1			",-75,-88,-120
"1			",-75,-89,-120
"1			",-81,-88,-120
"1			",-72,-95,-95
"1			",-73,-93,-93
"1			",-72,-95,-91
"1			",-91,-89,-120
"1			",-81,-91,-120
"1			",-83,-93,-120
"1			",-82,-95,-93
"1			",-91,-92,-120
"1			",-73,-93,-120
"1			",-69,-120,-120
"1			",-75,-120,-91
"1			",-77,-120,-93
"1			",-79,-120,-120
"1			",-83,-120,-120
"1			",-84,-93,-95
"1			",-87,-95,-93
"1			",-85,-93,-95
"1			",-85,-93,-91
"1			",-81,-93,-120
"1			",-73,-91,-120
"1			",-72,-120,-120
"1			",-83,-88,-120
"1			",-80,-89,-120
"1			",-87,-90,-120
"1			",-79,-91,-97
"1			",-77,-92,-95
"1			",-85,-93,-120
"1			",-89,-93,-120
"1			",-78,-120,-93
"1			",-77,-95,-95
"1			",-87,-93,-97
"1			",-71,-93,-120
"1			",-85,-91,-120
"1			",-72,-91,-120
"1			",-73,-91,-95
"1			",-72,-93,-95
"1			",-71,-93,-120
"1			",-73,-90,-120
"1			",-75,-91,-120
"1			",-74,-89,-120
"1			",-71,-90,-95
"1			",-73,-90,-93
"1			",-75,-120,-120
"1			",-79,-120,-120
"1			",-73,-120,-120
"1			",-75,-120,-120
"1			",-76,-120,-88
"1			",-74,-120,-95
"1			",-75,-120,-120
"1			",-77,-120,-120
"1			",-72,-120,-120
"1			",-74,-95,-93
"1			",-75,-93,-120
"1			",-71,-95,-97
"1			",-70,-93,-120
"1			",-81,-94,-120
"1			",-80,-92,-93
"1			",-73,-120,-95
"1			",-73,-120,-95
"1			",-75,-93,-120
"1			",-77,-95,-120
"1			",-73,-120,-120
"1			",-75,-97,-120
"2			",-79,-90,-91
"2			",-80,-91,-93
"2			",-77,-89,-95
"2			",-81,-85,-91
"2			",-83,-89,-120
"2			",-85,-87,-120
"2			",-80,-93,-91
"2			",-77,-91,-93
"2			",-90,-120,-95
"2			",-77,-120,-120
"2			",-81,-120,-91
"2			",-82,-87,-93
"2			",-89,-91,-91
"2			",-75,-93,-93
"2			",-77,-89,-97
"2			",-79,-91,-95
"2			",-91,-88,-90
"2			",-83,-89,-92
"2			",-81,-91,-91
"2			",-84,-91,-93
"2			",-91,-89,-120
"2			",-85,-120,-120
"2			",-88,-90,-91
"2			",-80,-120,-95
"2			",-81,-85,-93
"2			",-81,-89,-94
"2			",-83,-88,-94
"2			",-79,-87,-97
"2			",-81,-91,-120
"2			",-79,-90,-95
"2			",-77,-87,-93
"2			",-75,-88,-95
"2			",-79,-89,-93
"2			",-83,-89,-90
"2			",-83,-90,-91
"2			",-85,-120,-120
"2			",-81,-120,-120
"2			",-79,-88,-93
"2			",-89,-90,-93
"2			",-83,-91,-120
"2			",-81,-87,-95
"2			",-77,-89,-90
"2			",-79,-88,-89
"2			",-83,-120,-93
"2			",-85,-89,-89
"2			",-83,-89,-95
"2			",-83,-91,-87
"2			",-81,-89,-93
"2			",-83,-93,-120
"2			",-80,-95,-95
"2			",-79,-91,-120
"2			",-83,-93,-120
"2			",-85,-120,-120
"2			",-87,-95,-97
"2			",-83,-91,-95
"2			",-85,-120,-93
"2			",-83,-90,-91
"2			",-85,-91,-88
"2			",-81,-120,-87
"2			",-79,-120,-87
"2			",-79,-120,-89
"2			",-73,-93,-91
"2			",-90,-90,-120
"2			",-85,-92,-87
"2			",-83,-95,-91
"2			",-88,-91,-93
"2			",-91,-120,-120
"2			",-120,-93,-93
"2			",-87,-91,-91
"3			",-83,-85,-90
"3			",-85,-85,-91
"3			",-90,-83,-89
"3			",-87,-87,-91
"3			",-82,-90,-120
"3			",-83,-90,-120
