,region,comp,civil,mining
0,1,-77.3623188405797,-100.6231884057971,-109.46376811594203
1,1,-80.0,-89.0,-120.0
2,1,-76.5,-104.5,-120.0
3,1,-75.33333333333333,-100.0,-120.0
4,1,-74.5,-105.0,-120.0
5,1,-75.8,-102.6,-120.0
6,1,-75.33333333333333,-100.5,-120.0
7,1,-75.57142857142857,-99.71428571428571,-116.42857142857143
8,1,-75.0,-98.875,-116.875
9,1,-75.55555555555556,-98.11111111111111,-114.22222222222223
10,1,-75.3,-100.3,-114.80000000000001
11,1,-76.27,-99.37,-115.32000000000001
12,1,-77.743,-98.333,-115.78800000000001
13,1,-77.6687,-97.9997,-116.20920000000001
14,1,-77.40183,-97.89973,-116.58828000000001
15,1,-78.161647,-97.409757,-114.42945200000001
16,1,-77.3454823,-96.9687813,-114.98650680000002
17,1,-77.71093407000001,-96.07190317,-115.48785612000002
18,1,-77.43984066300001,-95.26471285299999,-115.93907050800001
19,1,-76.99585659670001,-94.73824156769999,-113.64516345720001
20,1,-76.49627093703,-94.56441741092999,-111.78064711148001
21,1,-76.546643843327,-97.10797566983699,-112.60258240033201
22,1,-76.1919794589943,-96.69717810285329,-110.64232416029881
23,1,-75.97278151309487,-95.92746029256796,-111.57809174426893
24,1,-77.47550336178539,-95.53471426331116,-112.42028256984204
25,1,-77.02795302560685,-97.98124283698004,-110.67825431285785
26,1,-77.82515772304616,-97.48311855328204,-108.71042888157206
27,1,-77.94264195074155,-96.83480669795384,-107.53938599341485
28,1,-77.34837775566739,-96.65132602815845,-105.88544739407337
29,1,-77.71353998010065,-96.0861934253426,-107.29690265466603
30,1,-78.24218598209059,-95.27757408280834,-108.56721238919943
31,1,-79.11796738388153,-95.24981667452751,-107.01049115027948
32,1,-78.30617064549338,-95.22483500707476,-106.00944203525152
33,1,-77.97555358094404,-97.70235150636728,-104.50849783172637
34,1,-77.37799822284964,-97.43211635573056,-103.55764804855373
35,1,-77.04019840056468,-99.6889047201575,-102.70188324369836
36,1,-76.5361785605082,-98.82001424814175,-104.43169491932852
37,1,-77.58256070445738,-97.93801282332757,-105.98852542739567
38,1,-77.32430463401164,-97.24421154099481,-107.38967288465611
39,1,-76.79187417061047,-99.51979038689532,-106.15070559619049
40,1,-77.81268675354943,-98.86781134820579,-105.23563503657144
41,1,-77.83141807819449,-100.98103021338521,-104.01207153291429
42,1,-78.44827627037503,-100.18292719204669,-103.11086437962287
43,1,-78.90344864333753,-99.46463447284202,-104.79977794166058
44,1,-78.31310377900377,-98.81817102555782,-106.31980014749452
45,1,-78.3817934011034,-100.93635392300203,-107.68782013274506
46,1,-78.84361406099305,-99.94271853070182,-106.61903811947056
47,1,-78.05925265489374,-98.94844667763164,-105.4571343075235
48,1,-78.55332738940436,-101.05360200986847,-106.91142087677116
49,1,-77.99799465046392,-100.04824180888163,-105.72027878909404
50,1,-78.39819518541753,-99.54341762799346,-104.44825091018464
51,1,-79.05837566687578,-98.88907586519412,-106.00342581916618
52,1,-78.7525381001882,-101.0001682786747,-104.20308323724956
53,1,-79.77728429016938,-100.20015145080724,-105.7827749135246
54,1,-79.09955586115244,-102.18013630572652,-104.70449742217214
55,1,-78.6896002750372,-100.86212267515387,-106.23404767995493
56,1,-78.72064024753348,-102.77591040763848,-107.61064291195943
