,region,comp,civil,mining
0,1,-72,-120,-95
1,1,-79,-120,-120
2,1,-83,-91,-97
3,1,-75,-88,-120
4,1,-75,-89,-120
5,1,-81,-88,-120
6,1,-72,-95,-95
7,1,-73,-93,-93
8,1,-72,-95,-91
9,1,-91,-89,-120
10,1,-81,-91,-120
11,1,-83,-93,-120
12,1,-82,-95,-93
13,1,-91,-92,-120
14,1,-73,-93,-120
15,1,-69,-120,-120
16,1,-75,-120,-91
17,1,-77,-120,-93
18,1,-79,-120,-120
19,1,-83,-120,-120
20,1,-84,-93,-95
21,1,-87,-95,-93
22,1,-85,-93,-95
23,1,-85,-93,-91
24,1,-81,-93,-120
25,1,-73,-91,-120
26,1,-72,-120,-120
27,1,-83,-88,-120
28,1,-80,-89,-120
29,1,-87,-90,-120
30,1,-79,-91,-97
31,1,-77,-92,-95
32,1,-85,-93,-120
33,1,-89,-93,-120
34,1,-78,-120,-93
35,1,-77,-95,-95
36,1,-87,-93,-97
37,1,-71,-93,-120
38,1,-85,-91,-120
39,1,-72,-91,-120
40,1,-73,-91,-95
41,1,-72,-93,-95
42,1,-71,-93,-120
43,1,-73,-90,-120
44,1,-75,-91,-120
45,1,-74,-89,-120
46,1,-71,-90,-95
47,1,-73,-90,-93
48,1,-75,-120,-120
49,1,-79,-120,-120
50,1,-73,-120,-120
51,1,-75,-120,-120
52,1,-76,-120,-88
53,1,-74,-120,-95
54,1,-75,-120,-120
55,1,-77,-120,-120
56,1,-72,-120,-120
57,1,-74,-95,-93
58,1,-75,-93,-120
59,1,-71,-95,-97
60,1,-70,-93,-120
61,1,-81,-94,-120
62,1,-80,-92,-93
63,1,-73,-120,-95
64,1,-73,-120,-95
65,1,-75,-93,-120
66,1,-77,-95,-120
67,1,-73,-120,-120
68,1,-75,-97,-120
69,2,-79,-90,-91
70,2,-80,-91,-93
71,2,-77,-89,-95
72,2,-81,-85,-91
73,2,-83,-89,-120
74,2,-85,-87,-120
75,2,-80,-93,-91
76,2,-77,-91,-93
77,2,-90,-120,-95
78,2,-77,-120,-120
79,2,-81,-120,-91
80,2,-82,-87,-93
81,2,-89,-91,-91
82,2,-75,-93,-93
83,2,-77,-89,-97
84,2,-79,-91,-95
85,2,-91,-88,-90
86,2,-83,-89,-92
87,2,-81,-91,-91
88,2,-84,-91,-93
89,2,-91,-89,-120
90,2,-85,-120,-120
91,2,-88,-90,-91
92,2,-80,-120,-95
93,2,-81,-85,-93
94,2,-81,-89,-94
95,2,-83,-88,-94
96,2,-79,-87,-97
97,2,-81,-91,-120
98,2,-79,-90,-95
99,2,-77,-87,-93
100,2,-75,-88,-95
101,2,-79,-89,-93
102,2,-83,-89,-90
103,2,-83,-90,-91
104,2,-85,-120,-120
105,2,-81,-120,-120
106,2,-79,-88,-93
107,2,-89,-90,-93
108,2,-83,-91,-120
109,2,-81,-87,-95
110,2,-77,-89,-90
111,2,-79,-88,-89
112,2,-83,-120,-93
113,2,-85,-89,-89
114,2,-83,-89,-95
